track_name,artist(s)_name,artist_count,released_year,in_spotify_playlists,streams,key,mode
Cruel Summer,Taylor Swift,1,2019,7858,800840817,A,Major
I Wanna Be Yours,Arctic Monkeys,1,2013,12859,1297026226,nan,Minor
Blank Space,Taylor Swift,1,2014,11434,1355959075,F,Major
Style,Taylor Swift,1,2014,7830,786181836,D,Major
Sunflower  SpiderMan Into the SpiderVerse,Post Malone Swae Lee,2,2018,24094,2808096550,D,Major
See You Again,Tyler The Creator Kali Uchis,3,2017,13387,1047101291,F,Major
Die For You,The Weeknd,1,2016,2483,1647990401,C,Minor
Starboy,The Weeknd Daft Punk,2,2016,29536,2565529693,G,Major
Another Love,Tom Odell,1,2012,18371,1813673666,E,Minor
Blinding Lights,The Weeknd,1,2019,43899,3703895074,C,Major
Yellow,Chris Molitor,1,1999,31358,1755214421,B,Major
Sweater Weather,The Neighbourhood,1,2012,16413,2282771485,A,Major
Viva La Vida,Coldplay,1,2008,33898,1592909789,F,Minor
Riptide,Vance Joy,1,1975,31123,2009094673,C,Major
Someone You Loved,Lewis Capaldi,1,2018,17836,2887241814,C,Major
Makeba,Jain,1,2015,6060,165484133,D,Major
MONTAGEM  FR PUNK,Ayparia unxbected,2,2012,641,58054811,A,Major
Dont Bl,Taylor Swift,1,2017,4875,685032533,A,Minor
Summertime Sadness,Lana Del Rey,1,2011,20333,983637508,C,Minor
Lover,Taylor Swift,1,2012,8448,882831184,G,Major
Mockingbird,Eminem,1,2004,12985,1241559043,E,Minor
Cold Heart  PNAU Remix,Dua Lipa Elton John Pnau,3,2017,21097,1605224506,C,Major
Dandelions,Ruth B,1,2017,3423,1116995633,C,Major
Set Fire to the Rain,Adele,1,2011,14739,1163620694,D,Minor
Money Trees,Kendrick Lamar Jay Rock,2,2012,26792,1093605526,E,Minor
Everybody Wants To Rule The World,Tears For Fears,1,1985,41751,1205951614,G,Major
No Role Modelz,J Cole,1,2014,21164,1791000570,A,Minor
Cant Hold Us feat Ray Dalton,Ray Dalton Ryan Lewis Macklemore,3,2011,6074,1953533826,D,Major
Watermelon Sugar,Harry Styles,1,2019,21915,2322580122,nan,Major
