track_name,artist(s)_name,artist_count,released_year,in_spotify_playlists,streams,key,mode
Seven feat Latto Explicit Ver,Latto Jung Kook,2,2023,553,141381703,B,Major
LALA,Myke Towers,1,2023,1474,133716286,C,Major
vampire,Olivia Rodrigo,1,2023,1397,140003974,F,Major
WHERE SHE GOES,Bad Bunny,1,2023,3133,303236322,A,Minor
Sprinter,Dave Central Cee,2,2023,2186,183706234,C,Major
Ella Baila Sola,Eslabon Armado Peso Pluma,2,2023,3090,725980112,F,Minor
Columbia,Quevedo,1,2023,714,58149378,F,Major
fukumean,Gunna,1,2023,1096,95217315,C,Minor
La Bebe  Remix,Peso Pluma Yng Lvcas,2,2023,2953,553634067,D,Minor
un x100to,Bad Bunny Grupo Frontera,2,2023,2876,505671438,F,Minor
Super Shy,NewJeans,1,2023,422,58255150,F,Minor
Flowers,Miley Cyrus,1,2023,12211,1316855716,nan,Major
Daylight,David Kushner,1,2023,3528,387570742,D,Minor
As It Was,Harry Styles,1,2022,23575,2513188493,F,Minor
Kill Bill,SZA,1,2022,8109,1163093654,G,Major
Cupid  Twin Ver,Fifty Fifty,1,2023,2942,496795686,B,Minor
What Was I Made For From The Motion Picture Barbie,Billie Eilish,1,2023,873,30546883,nan,Major
Classy 101,Feid Young Miko,2,2023,2610,335222234,B,Major
Like Crazy,Jimin,1,2023,596,363369738,G,Major
LADY GAGA,Gabito Ballesteros Junior H Peso Pluma,3,2023,332,86444842,F,Minor
I Can See You Taylors Version From The ,Taylor Swift,1,2023,516,52135248,F,Major
Peso Pluma Bzrp Music Sessions Vol 55,Bizarrap Peso Pluma,2,2023,1313,200647221,F,Minor
Popular with Playboi Carti  Madonna  The Idol Vol 1 Music from the HBO Original Series,The Weeknd Madonna Playboi Carti,3,2023,1945,115364561,C,Major
SABOR FRESA,Fuerza Regida,1,2023,250,78300654,G,Minor
Calm Down with Selena Gomez,Rma Selena G,2,2022,7112,899183384,B,Major
MOJABI GHOST,Tainy Bad Bunny,2,2023,859,61245289,F,Minor
Last Night,Morgan Wallen,1,2023,2420,429829812,F,Major
Dance The Night From Barbie The Album,Dua Lipa,1,2023,2988,127408954,B,Minor
Rush,Troye Sivan,1,2023,864,22581161,F,Minor
TULUM,Peso Pluma Grupo Frontera,2,2023,266,52294266,F,Major
Creepin,The Weeknd 21 Savage Metro Boomin,3,2022,6036,843957510,C,Minor
AntiHero,Taylor Swift,1,2022,9082,999748277,E,Major
TQG,Karol G Shakira,2,2023,4284,618990393,E,Minor
Los del Espacio,Big One Duki Lit Killah Maria Becerra FMK Rusherking Emilia Tiago pzk,8,2023,1150,123122413,nan,Major
Frgil feat Grupo Front,Yahritza Y Su Esencia Grupo Frontera,2,2023,672,188933502,F,Major
TQM,Fuerza Regida,1,2023,584,176553476,F,Minor
El Azul,Junior H Peso Pluma,2,2023,692,354495408,A,Minor
Im Good Blue,Bebe Rexha David Guetta,2,2022,12482,1109433169,G,Minor
Barbie World with Aqua From Barbie The Album,Nicki Minaj Aqua Ice Spice,3,2023,1117,65156199,nan,Major
Angels Like You,Miley Cyrus,1,2020,3372,570515054,F,Major
I Aint Worried,OneRepublic,1,2022,8431,1085685420,nan,Major
Die For You  Remix,Ariana Grande The Weeknd,2,2023,3408,518745108,C,Minor
El Cielo,Feid Myke Towers Sky Rompiendo,3,2023,1298,107753850,A,Minor
Baby Dont Hurt Me,David Guetta AnneMarie Coi Leray,3,2023,4277,177740666,G,Major
AMARGURA,Karol G,1,2023,1133,153372011,F,Minor
It Goes Like Nanana  Edit,Peggy Gou,1,2023,2259,57876440,G,Minor
Moonlight,Kali Uchis,1,2023,2649,256483385,G,Minor
La Bachata,Manuel Turizo,1,2022,6804,1214083358,G,Minor
S91,Karol G,1,2023,525,16011326,nan,Minor
cardigan,Taylor Swift,1,2020,7923,812019557,nan,Minor
T,dennis MC Kevin o Chris,2,2023,731,111947664,B,Major
Boys a liar Pt 2,PinkPantheress Ice Spice,2,2023,5184,156338624,F,Major
